param_name,Crop_ID,nominal_value,LB,UB
__Clay_fraction,0,0.57,0.4,0.7
__Porosity,0,0.612,0.482,0.75
__Bulk_density,0,1.02,0.95,1.6
__pH,0,6.7,5.9,7
____SCS_curve_number,0,88,64,95
__Humads_C/N,0,10,5,12
__Humus_C/N,0,10,5,18
______Maximum_yield,43,3300,3000,6000
______Grain_C/N,43,25,20,60
______Leaf_C/N,43,45,40,60
______Stem_C/N,43,45,40,60
______Root_C/N,43,70,60,80
______Accumulative_temperature,43,2500,2000,3000
______Water_requirement,43,249,100,250
______Optimum_temperature,43,28,25,32
______Maximum_yield,2,2300,2000,3000
______Grain_C/N,2,45,20,60
______Leaf_C/N,2,85,42,95
______Stem_C/N,2,85,35,95
______Root_C/N,2,85,30,95
______Accumulative_temperature,2,1700,1260,1825
______Water_requirement,2,170,100,250
______Optimum_temperature,2,14,5,25
______DrainDepth(m),0,0.8,0.5,1.2
______DrainSpace(m),0,10,9,30
______keDrain_factor,0,0.83,0.2,1.5
______MaxN_movement,0,0.949999,0.1,1
______MobileN_Factor,0,0.989999,0.1,1
______Pref_NLayerFraction,0,0.680001,0.1,0.99
______N_Leaching_Factor,0,2.45,1,3
______N_Retention_F,0,0.1,0.05,1
______Pref_N_Move2,0,0.9500023,0.9,1
______Root_Depth,43,1.380002,0.6,2
______Root_Depth,2,1.9,0.6,2.1
