Results of a batch run
File ,  Year , Grain1-C  , Shoot1-C  , Root1-C   , Grain2-C  , Shoot2-C  , Root2-C   , Grain3-C  , Shoot3-C  , Root3-C   , CutBiomassC, GrazedBiomassC,Manure-C  , Manure-N  , Fertilizer-N, Litter-C  , Litter-N  , Soil-fixation-N, CropN-from-soil, CropN-from-fixation,dSOC      , Field-CH4 , Field-N2O , Field-NO  , Field-N2  , Field-NH3 , Field-N-leach, Site_name                               , Rainfall  , AveT      , ENDSIN    , Water     , Nitrogen  , CROP      , CROP      ,Total_SOC-30,PET       ,Transp    ,Evap      ,ENDSIN    ,FloweringDay,PodDay    ,MaturityDay1,GrowthStatus,Grain1-N  , Shoot1-N  , Leaf1-N   , Root1-N   ,LAI1      ,Grain2-N  , Shoot2-N  , Leaf2-N   , Root2-N   ,LAI2      ,HarvSIN   ,GermReport,Biomass-Sens1,Biomass-Sens2,Biomass-Sens3,SeedFillDay,YR_PETCROP,SOC010    ,SOC1020   ,SOC2030   ,SOC3040   ,TOTALSOC  ,CROP      ,CROP      ,CROP      ,NSTRESS   ,NSTRESS   ,NSTRESS   ,IRRI      ,CROPTStress,PlantDate ,StuntGrowth,SeasPrecip,SeasEvap  ,CO2_Factor,MaxMn     ,cropCHU   ,SeasPET   ,SeasPETKC ,Leach     ,runoff    
File ,  Year , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , Site_name                               , mm        , Degree_C  , kgN/ha    , WaterStress, NStress   , HarvestDay, GrowDays  , mm        , mm        , mm        , mm        , mm        , mm        , mm        , mm        , mm        , mm        , kg N ha   , kg N ha   , kg N ha   , kg N ha   , kg N ha   , kg N ha   , kg N ha   , kg N ha   ,           , kg N ha   , day       , kg  ha    , kg ha     , kg ha     , day       , mm        , kg C ha   , kg C ha   , kg C ha   , kg C ha   , kg C ha   , type#     , type#     , type#     ,           ,           ,           ,           ,           ,           ,          ,          ,          ,mm        ,mm        ,mm        ,mm        
    1,      1,       0.00,     473.86,     112.54,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,      17.00,     112.54,       3.73,       0.00,      22.73,       0.16,   -575.84,      -0.53,       2.44,       0.08,       1.93,       0.00,       1.83, M                                       ,    1125.50,       9.91,      34.49,       1.00,       0.87,    366,      0,  58799.89,   1284.03,     15.89,    595.42,     34.49,    0,     0,   290,      0.00,      0.00,       0.00,       0.00,       0.00,      1.38,      0.00,       0.00,       0.00,       0.00,      0.00,      2.27,   10,      0.00,      0.00,      0.00,    0,   1328.57,  23086.26,  23132.41,  12581.22,   8525.66,  93362.48,    0,    0,    0,      0.87,      0.00,      0.00,      0.00,      0.78,    0,      1.00,    346.70,     78.15,      1.06,     82.46,    429.36,    300.30,    291.99,    181.48,    123.94
    1,      2,       0.00,    2987.84,     933.70,       0.00,      11.02,       3.76,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,     132.00,    3054.26,      55.72,       0.00,     148.65,       0.00,   2472.76,      -0.51,       1.59,       0.22,       1.47,       5.59,       5.58, M                                       ,     803.50,       9.75,      22.08,       0.74,       1.00,    265,    125,  60909.05,   1397.44,    214.02,    436.32,     22.08,    0,     0,   265,      0.85,     74.35,      27.61,      32.69,      13.70,      3.79,      0.00,       0.00,       0.00,       0.00,      0.03,     22.74,    8,      0.00,      0.00,      0.00,    0,   1344.93,  24723.32,  23416.94,  12768.79,   8645.66,  95835.23,   43,    2,    0,      1.00,      0.59,      0.00,      0.00,      0.96,  141,      1.00,    196.20,    111.85,      1.06,    275.52,   4294.57,    858.89,    742.97,    192.64,     50.88
    1,      3,    1562.49,    1676.75,     571.38,       0.00,     220.76,     523.83,       0.00,       0.00,       0.00,       0.00,       0.00,    900.00,     302.00,      96.00,    2679.69,      74.79,       0.51,     146.51,       0.51,    998.97,      -0.47,       2.10,       0.29,       1.89,      90.96,       5.10, M                                       ,     782.50,      10.91,      30.18,       0.86,       0.76,    188,    263,  61729.63,   1542.33,    146.30,    457.91,     30.18,    0,     0,   167,      1.00,     70.03,      10.62,      19.72,      12.33,      2.48,      0.00,       0.00,       0.00,       0.00,      0.23,      3.26,   15,      0.00,    195.40,      0.00,    0,   1508.66,  25177.10,  23714.02,  12838.50,   8696.15,  96834.20,    2,   10,    0,      0.76,      1.00,      0.00,      3.24,      1.00,  291,      1.00,      0.00,      0.00,      1.06,    201.93,      0.00,      0.00,      0.00,     59.63,     41.58
    1,      4,       0.00,    7868.23,    1625.30,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,    5850.53,       0.00,      0.00,       0.00,       0.00,    2068.45,     193.15,     799.96,      38.04,     799.96,   1734.89,      -0.53,       1.28,       0.03,       2.52,       0.23,       2.96, M                                       ,    1382.80,      11.11,      13.32,       0.94,       0.89,    366,      0,  62635.25,   1473.03,    402.91,    537.31,     13.32,    0,     0,   366,      0.00,      0.00,       0.00,       0.00,       0.00,      1.77,      0.00,       0.00,       0.00,       0.00,      0.00,      2.46,   10,   1941.24,      0.00,      0.00,    0,   1417.96,  26271.44,  23593.04,  12770.76,   8640.89,  97795.70,   10,    0,    0,      0.89,      0.00,      0.00,      0.00, -nan(ind),  239,      1.00,    494.00,     97.14,      1.06,    377.57,   1193.89,    352.70,    340.78,    343.69,    104.76
    1,      5,       0.00,    2911.23,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,      17.00,    2001.53,      56.87,     265.11,      46.53,     267.17,   -875.38,      -0.54,       2.47,       0.25,       1.70,       7.61,       4.63, M                                       ,     894.50,      12.33,      89.01,       0.95,       0.91,    366,      0,  61154.99,   1483.39,    136.41,    524.95,     89.01,    0,     0,   133,      0.00,      0.00,       0.00,       0.00,       0.00,      1.91,      0.00,       0.00,       0.00,       0.00,      0.00,      2.46,   10,      0.00,      0.00,      0.00,    0,   1623.87,  24288.32,  23973.14,  12893.53,   8623.54,  96200.15,    0,    0,    0,      0.91,      0.00,      0.00,      0.00, -nan(ind),    0,      1.00,    568.10,    273.17,      1.06,    377.57,   4457.04,    911.17,   1108.82,    167.74,     54.91
    1,      6,    3306.86,    4289.98,    1340.62,       0.00,       8.87,       3.02,       0.00,       0.00,       0.00,       0.00,       0.00,   2430.00,     304.75,     212.00,    4385.35,      80.00,       0.00,     213.49,       0.00,   5825.04,      -0.51,       3.07,       0.55,       1.59,       0.00,      12.39, M                                       ,    1010.60,      10.35,     108.36,       0.83,       1.00,    265,    125,  66405.56,   1438.56,    299.58,    503.60,    108.36,    0,     0,   257,      0.95,    106.75,      39.65,      46.93,      19.67,      4.69,      0.00,       0.00,       0.00,       0.00,      0.02,     91.34,  -99,      0.00,      0.00,      0.00,    0,   1398.24,  28924.24,  24353.55,  13127.78,   8765.90, 101681.00,   43,    2,    0,      1.00,      0.96,      0.00,      0.76,      0.94,  141,      1.00,    429.50,    159.61,      1.06,    275.52,   4548.00,    875.24,    771.41,    146.39,     84.37
    1,      7,    1367.98,    1468.03,     500.27,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,       0.00,    2326.60,      52.11,       0.00,      95.45,       0.00,   2021.88,      -0.37,       0.48,       0.02,       1.40,       0.00,      16.88, M                                       ,     906.40,       9.03,       5.63,       0.91,       0.63,    188,    263,  65624.52,   1370.76,     77.85,    469.23,      5.63,    0,     0,   175,      1.00,     61.31,       9.30,      17.27,      10.79,      2.29,      0.00,       0.00,       0.00,       0.00,      0.00,      3.16,   15,      0.00,      0.00,      0.00,    0,   1349.63,  28077.82,  24368.14,  13178.56,   8804.17, 100973.52,    2,   47,    0,      0.63,      1.00,      0.00,      0.00,      1.00,  291,      1.00,      0.00,      0.00,      1.06,    201.93,      0.00,      0.00,      0.00,    296.61,     62.83
    1,      8,      22.82,    1825.83,     433.48,       0.00,     614.13,     145.86,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,      17.00,    2755.14,     214.92,     196.38,      29.77,     196.38,   1194.56,      -0.48,       2.42,       0.36,       2.15,       1.43,       1.29, M                                       ,    1020.40,      10.60,     112.53,       0.93,       0.76,    213,    215,  64204.17,   1472.11,    268.70,    528.93,    112.53,    0,     0,   161,      1.00,      1.89,      86.46,      86.46,      21.56,      3.96,      0.00,       0.00,       0.00,       0.00,      1.77,      8.39,   10,      0.00,      0.00,      0.00,    0,   1331.29,  26244.50,  24675.86,  13283.82,   8809.16,  99598.53,   47,    0,    0,      0.76,      1.00,      0.00,      0.00, -nan(ind),  364,      1.00,      0.00,      0.00,      1.06,    228.68,      0.00,      0.00,      0.00,    156.02,     55.55
    1,      9,    2696.30,    3497.90,    1093.09,       0.00,      21.19,       7.22,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,     132.00,    3575.66,      65.23,       0.00,     174.60,       0.00,   3785.75,      -0.57,       1.35,       0.18,       2.08,       5.41,      19.55, M                                       ,     965.30,      11.85,      64.42,       0.73,       1.00,    265,    125,  66252.70,   1518.75,    238.53,    521.47,     64.42,    0,     0,   249,      1.00,     87.04,      32.33,      38.27,      16.04,      4.23,      0.00,       0.00,       0.00,       0.00,      0.05,     64.77,  -99,      0.00,      0.00,      0.00,    0,   1470.94,  27869.72,  24944.84,  13438.14,   8910.35, 101879.84,   43,    2,    0,      1.00,      0.60,      0.00,      0.00,      0.93,  141,      1.00,    341.50,    134.73,      1.06,    275.52,   5119.05,    922.24,    814.14,    202.92,     55.85
