Multi-year report for site M

Year ,Crop1      ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,Crop2      ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,Crop3      ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,PotTrans/WreqTrans,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub,WaterStress-Crop1,WaterStress-Crop2,WaterStress-Crop3,NStress-Crop1,NStress-Crop2,NStress-Crop3,ColdStress-Crop1,ColdStress-Crop2,ColdStress-Crop3,CropHarvestDay,CropGrowDay,WinterKillEffect,EOYPlantPopSurv,WinterCrownT,SpringCrownT,CutNumber  ,CrownBelowMax(WINTER),CrownBelowMax(SPRING),GermDays   ,StuntGrowth,CHU        ,MatDay1    ,MatDay2    ,MatDay3    ,FlowDay1   ,FlowDay2   ,FlowDay3   ,EmerDay1   ,EmerDay2   ,EmerDay3   
     ,ID         ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,ID         ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,ID         ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha     ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,degree     ,m/s        ,           ,           ,           ,kgC/ha/y   ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,           ,           ,           ,           ,           ,           ,           ,           ,           ,days       ,days       ,%          ,%          ,oC         ,oC         ,#          ,days       ,days       ,index      ,index      ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        ,DOY        

    1,          0,        0.0000000,     236.9284668,     236.9284668,     112.5410004,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0245,         0.0223,         0.0115,         0.0075,         0.0046,   23086.2617188,   23132.4062500,   12581.2177734,    8525.6552734,    5313.5693359,   93938.3125000,   93362.4765625,    -575.8359375,       0.0000000,     112.5410004,       0.0000000,       2.0665123,     288.1212769,     314.3081970,       0.0000000,      -0.5271606,   13576.5117188,       2.4235325,   13529.0439453,      34.4943466,     -15.3972549,       5.6275010,      17.0000000,       0.0000000,       3.7305629,       0.0000000,      22.7257290,       1.8292714,       0.0042556,       0.0000000,       2.4438951,       0.0834601,       1.9259909,       0.0000000,       2.2620356,    1284.0336561,      15.8859212,     595.4179764,     181.4826578,     123.9396557,       0.0000000,    1125.4997253,       0.0000000,       9.9127321,       3.2461386,       0.4224615,       1.0000000,       0.8681712,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9977456,       0.0000000,       0.0000000,       0.8681712,       0.0000000,       0.0000000,       0.4224615,       0.0000000,       0.0000000,  366,    0,       0.0000000,     100.0000000,       0.0000000,       0.0000000,          0,          0,          0,         10,       1.0000000,     429.3609619,        290,          0,          0,          0,          0,          0,        257,          0,          0
    2,         43,        0.0000000,    1493.9216309,    1493.9215088,     933.7009888,          2,       0.0000000,       5.5077920,       5.5077925,       3.7553134,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0263,         0.0226,         0.0116,         0.0076,         0.0047,   24723.3183594,   23416.9375000,   12768.7939453,    8645.6621094,    5390.2846680,   93362.4687500,   95835.2265625,    2472.7578125,    1513.6541748,    1540.6066895,       0.0000000,      80.0938034,     464.1393127,     196.7174072,       0.0000000,      -0.5067120,   13529.0439453,      34.4943466,   13570.5771484,      22.0834103,      29.1224728,       4.0174999,     132.0000000,       0.0000000,      55.7202148,       0.0000000,     148.6514282,       5.5828090,       0.0061713,       0.0000000,       1.5852259,       0.2172040,       1.4682592,       5.5860023,       1.9914366,    1397.4424601,     214.0194774,     436.3209307,     192.6365644,      50.8818142,       0.0000000,     803.4999371,       0.0000000,       9.7461548,       3.1309309,       0.0000000,       1.0000000,       1.0000000,       0.0000000,       0.0000000,       5.5077920,       5.5077925,       3.6850052,     428.4441528,       0.7417149,       1.0000000,       0.0000000,       1.0000000,       0.5897932,       0.0000000,       0.0000000,       0.1274742,       0.0000000,  265,  125,       0.0000000,     100.0000000,       0.0000000,       0.0000000,          0,          0,          0,         15,       1.0000000,    4294.5732422,        265,        366,          0,          0,          0,          0,        150,        321,          0
    3,          2,     1562.4862061,     838.3764038,     838.3764038,     571.3764648,         10,       0.0000000,     110.3787003,     110.3787003,     523.8312988,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0268,         0.0229,         0.0117,         0.0077,         0.0047,   25177.0996094,   23714.0234375,   12838.5039062,    8696.1464844,    5430.3369141,   95835.2265625,   96834.1953125,     998.9687500,    1713.7331543,     965.9517822,     900.0000000,      84.4478073,    2283.5856934,     381.4129333,       0.0000000,      -0.4655604,   13570.5771484,      22.0833759,   13664.5175781,      30.1789684,     102.0363922,       3.9125006,      96.0000000,     302.0000000,      74.7948761,       0.5109155,     146.5146484,       5.0996456,       0.0331583,       0.0000000,       2.0985734,       0.2885922,       1.8860732,      90.9647369,       2.4274492,    1542.3265696,     146.3034004,     457.9127133,      59.6292242,      41.5762588,       3.2365385,     782.4999690,       0.0000000,      10.9147835,       3.0281902,       0.0000000,       1.0000000,       0.7581156,       0.0000000,       0.0000000,      12.6787930,      12.6787930,     500.6482239,       0.0000000,       0.8644785,       0.9724564,       0.0000000,       0.7581156,       1.0000000,       0.0000000,       0.0000000,       0.3341945,       0.0000000,  188,  263,       0.0000000,     100.0000000,       3.2998281,       0.0000000,          0,          0,          0,         10,       1.0000000,       0.0000000,        167,        366,          0,          0,          0,          0,          0,        249,          0
    4,         10,        0.0000000,    3934.1147461,    3934.1147461,    1625.3005371,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0279,         0.0228,         0.0116,         0.0076,         0.0047,   26271.4375000,   23593.0429688,   12770.7646484,    8640.8906250,    5386.8955078,   96060.8125000,   97795.7031250,    1734.8906250,    1941.2430420,     127.2105865,       0.0000000,     956.4910278,    1299.5866699,     728.7696533,       0.0000000,      -0.5278147,   13664.5175781,      30.1789703,   13843.6445312,      13.3233089,     162.2715454,       6.9140005,       0.0000000,       0.0000000,     193.1504517,     799.9584351,      38.0397530,       2.9625888,       0.0127863,       0.0000000,       1.2760601,       0.0325225,       2.5174937,       0.2338406,       2.4562678,    1473.0341434,     402.9122591,     537.3144150,     343.6884880,     104.7558188,       0.0000000,    1382.8001022,       0.0000000,      11.1101303,       3.1065754,       0.3586944,       1.0000000,       0.8910792,    5850.5307617,       0.0000000,      50.9790115,      50.9790115,    2001.5299072,       0.0000000,       0.9385746,       0.0000000,       0.0000000,       0.8910792,       0.0000000,       0.0000000,       0.3586944,       0.0000000,       0.0000000,  366,    0,       6.6087112,      93.3912888,       6.2119088,       1.0652202,          3,          0,          0,         10,       1.0000000,    1193.8861084,        366,          0,          0,          0,          0,          0,         49,         30,          0
    5,          0,        0.0000000,    1455.6165771,    1455.6165771,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0258,         0.0231,         0.0117,         0.0076,         0.0047,   24288.3183594,   23973.1445312,   12893.5292969,    8623.5390625,    5375.6738281,   97075.5312500,   96200.1484375,    -875.3828125,       0.0000000,    2001.5299072,       0.0000000,     502.1639709,    3676.5913086,    1080.0283203,       0.0000000,      -0.5376800,   13843.6445312,      13.3233004,   13835.7480469,      89.0138016,      67.7940750,       4.4725003,      17.0000000,       0.0000000,      56.8694305,     265.1139526,      46.5277367,       4.6283755,       0.0191061,       0.0000000,       2.4698958,       0.2461724,       1.6992813,       7.6137748,       2.4562678,    1483.3920002,     136.4067644,     524.9506831,     167.7373946,      54.9097173,       0.0000000,     894.5000768,       0.0000000,      12.3303986,       3.0129314,       1.0071111,       1.0000000,       0.9119081,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9489505,       0.0000000,       0.0000000,       0.9119081,       0.0000000,       0.0000000,       1.0071111,       0.0000000,       0.0000000,  366,    0,       0.0000000,      93.3912964,       0.0000000,       4.9616532,          0,          0,          0,          0,       1.0000000,    4457.0390625,        133,          0,          0,          0,          0,          0,          0,         30,          0
    6,         43,     3306.8630371,    2144.9919434,    2144.9916992,    1340.6201172,          2,       0.0000000,       4.4359374,       4.4359374,       3.0245030,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0308,         0.0235,         0.0120,         0.0077,         0.0047,   28924.2382812,   24353.5468750,   13127.7812500,    8765.8994141,    5466.8276367,   95855.9609375,  101681.0000000,    5825.0390625,    2173.3232422,    2212.0231934,    2430.0000000,     125.2769394,     950.2501221,     478.7752991,       0.0000000,      -0.5125468,   13835.7480469,      89.0137863,   13902.4667969,     108.3623657,      86.0674438,       5.0530009,     212.0000000,     304.7500000,      80.0037842,       0.0000000,     213.4916077,      12.3859520,       0.0032779,       0.0000000,       3.0663278,       0.5527945,       1.5917438,       0.0000000,       2.3511655,    1438.5617971,     299.5783389,     503.5979152,     146.3867724,      84.3664259,       0.7576685,    1010.5998516,       0.0000000,      10.3458796,       3.1705483,       0.0000000,       1.0000000,       1.0000000,       0.0000000,       0.0000000,       4.4359374,       4.4359374,       3.0147908,     615.1655273,       0.8298104,       1.0000000,       0.0000000,       1.0000000,       0.9565237,       0.0000000,       0.0000000,       0.1162151,       0.0000000,  265,  125,       0.0000000,     100.0000000,       0.0000000,       0.0000000,          0,          0,          0,         15,       1.0000000,    4547.9975586,        257,        366,          0,          0,          0,          0,        150,        321,          0
    7,          2,     1367.9798584,     734.0131226,     734.0132446,     500.2656250,         47,       0.0000000,       0.0000000,       0.0000000,       0.0000000,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0299,         0.0235,         0.0120,         0.0078,         0.0048,   28077.8203125,   24368.1445312,   13178.5585938,    8804.1660156,    5492.4116211,   98951.6328125,  100973.5156250,    2021.8828125,    1501.1652832,     825.4382935,       0.0000000,      28.1661682,    2669.3701172,     387.3090515,       0.0000000,      -0.3650908,   13902.4667969,     108.3623505,   13965.3457031,       5.6334610,     -39.8499374,       4.5320001,       0.0000000,       0.0000000,      52.1072922,       0.0000000,      95.4484177,      16.8795338,       0.0020927,       0.0000000,       0.4776538,       0.0154319,       1.4044783,       0.0000000,       2.4562678,    1370.7607985,      77.8480247,     469.2328572,     296.6095805,      62.8328398,       0.0000000,     906.3999057,       0.0000000,       9.0250635,       3.2028758,       0.0000000,       1.0000000,       0.6285692,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,      68.2175369,       0.9068774,       0.0000000,       0.0000000,       0.6285692,       1.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,  188,  263,       0.0000000,     100.0000000,       0.0000000,       0.0000000,          0,          0,          0,          0,       1.0000000,       0.0000000,        175,          0,          0,          0,          0,          0,          0,        366,          0
    8,         47,       22.8228703,     912.9149170,     912.9149170,     433.4779968,          0,       0.0000000,     307.0641479,     307.0641479,     145.8554840,          0,       0.0000000,       0.0000000,       0.0000000,       0.0000000,         0.0279,         0.0238,         0.0121,         0.0078,         0.0048,   26244.4960938,   24675.8554688,   13283.8222656,    8809.1572266,    5506.0981445,   98403.9687500,   99598.5312500,    1194.5625000,    1894.0473633,     861.0941772,       0.0000000,      39.7985077,    3221.6376953,     941.6329956,       0.0000000,      -0.4845744,   13965.3457031,       5.6334529,   14178.2207031,     112.5302277,     319.7714233,       5.1020002,      17.0000000,       0.0000000,     214.9234009,     196.3770142,      29.7727280,       1.2927880,       0.0097018,       0.0000000,       2.4227250,       0.3574338,       2.1491416,       1.4261925,       2.4562678,    1472.1071720,     268.6968446,     528.9322138,     156.0177654,      55.5520430,       0.0000000,    1020.3996897,       0.0000000,      10.5953321,       3.0655337,       0.0000000,       1.0000000,       0.7594320,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.0000000,       0.9342991,       0.9668588,       0.0000000,       0.7594320,       1.0000000,       0.0000000,       0.0000000,       0.4277308,       0.0000000,  213,  215,       0.0000000,     100.0000000,       0.0000000,       0.0000000,          0,          0,          0,         10,       1.0000000,       0.0000000,        161,        290,          0,          0,          0,          0,         38,        257,          0
