Annual water budget for site: M
Year,Initial water pools (mm),,,,,Input (mm/yr),,,Output (mm/yr),,,,,,,End water pools (mm)
,Soil,Snow,Leaf,Pond,Deep,Precipitation,Irrigation,Interception,Snow evap,Leaf evap,Pond evap,Soil evap,Tranpiration,Leaching,Runoff,Soil,Snow,Leaf,Pond,Deep
  1,655.4,  5.8,  0.0,  0.0,  0.0,1125.5,  0.0,  0.0, 24.6,  0.0,179.2,391.6, 15.9,181.5,123.9,866.6,  0.0,  0.0,  0.0,  0.0
  2,866.5,  0.0,  0.0,  0.0,  0.0,803.5,  0.0,  0.0, 13.6,  0.0,120.7,302.0,214.0,192.6, 50.9,766.5, 11.4,  0.0,  0.0,  0.0
  3,766.5, 11.4,  0.0,  0.0,  0.0,782.5,  3.2,  0.0, 15.5,  0.0,139.8,302.6,146.3, 59.6, 41.6,859.8,  0.0,  0.0,  0.0,  0.0
  4,859.8,  0.0,  0.0,  0.0,  0.0,1382.8,  0.0,  0.0, 14.1,  0.0,185.4,337.9,402.9,343.7,104.8,858.2,  0.0,  0.0,  0.0,  0.0
  5,858.2,  0.0,  0.0,  0.0,  0.0,894.5,  0.0,  0.0,  8.4,  0.0,149.9,366.6,136.4,167.7, 54.9,852.3, 16.4,  0.0,  0.0,  0.0
  6,852.3, 16.4,  0.0,  0.0,  0.0,1010.6,  0.8,  0.0, 17.3,  0.0,152.2,334.1,299.6,146.4, 84.4,851.4,  0.0,  0.0,  0.0,  0.0
  7,851.4,  0.0,  0.0,  0.0,  0.0,906.4,  0.0,  0.0, 28.6,  0.0,154.1,286.5, 77.8,296.6, 62.8,852.8,  0.0,  0.0,  0.0,  0.0
  8,852.8,  0.0,  0.0,  0.0,  0.0,1020.4,  0.0,  0.0, 17.4,  0.0,177.4,334.2,268.7,156.0, 55.6,873.6,  0.0,  0.0,  0.0,  0.0
  9,873.6,  0.0,  0.0,  0.0,  0.0,965.3,  0.0,  0.0,  9.5,  0.0,153.9,358.1,238.5,202.9, 55.8,821.5,  0.0,  0.0,  0.0,  0.0
 10,821.5,  0.0,  0.0,  0.0,  0.0,1048.2,  3.2,  0.0,  1.9,  0.0,165.1,328.5,154.1,317.1, 65.7,837.4,  3.1,  0.0,  0.0,  0.0
 11,837.5,  3.1,  0.0,  0.0,  0.0,958.9,  0.0,  0.0,  9.3,  0.0,143.8,345.1,303.0,121.7, 42.3,836.7,  0.0,  0.0,  0.0,  0.0
 12,836.7,  0.0,  0.0,  0.0,  0.0,1086.0,  9.2,  0.0, 21.4,  0.0,190.2,367.6,165.0,262.5, 61.3,868.4,  0.0,  0.0,  0.0,  0.0
 13,868.4,  0.0,  0.0,  0.0,  0.0,979.8,  9.2,  0.0, 14.2,  0.0,150.9,295.0,191.3,296.0, 62.0,848.5,  0.6,  0.0,  0.0,  0.0
